id,wine_name,winery_id,appellation_id,wine_year,wine_varietal_id,create_dt,bottle_size,image_file,overall_rating,description,upc_barcode,update_dt
1,Syrah,5,224,nv,88,"2013-11-25 20:00:00",750ml,label_image_00000.jpg,89,Syrah,NULL,NULL
2,"Sauvignon Blanc",7,225,2012,81,"2013-11-25 20:00:01",750ml,label_image_00000.jpg,89,"marllborough New Zealand",NULL,NULL
3,"Sierra Foothills",1,151,2006,7,"2013-11-25 20:00:02",750ml,label_image_00000.jpg,89,"Sierra Foothills",NULL,NULL
4,"Monterey Oakless",1,95,2010,16,"2013-11-25 20:00:03",750ml,label_image_00003.jpg,94,"Monterey Oakless",NULL,NULL
5,"Monterey Barrel Aged",1,95,2003,16,"2013-11-25 20:00:04",750ml,label_image_00002.jpg,92,"Monterey Barrel Aged",NULL,NULL
6,"El Dorado Estate Late Harvest Zinfandel",1,49,2011,32,"2013-11-25 20:00:05",750ml,label_image_00000.jpg,89,"El Dorado Estate",NULL,NULL
7,"Nocturne El Dorado",1,49,2004,101,"2013-11-25 20:00:06",375ml,label_image_00000.jpg,89,"Nocturne El Dorado",NULL,NULL
8,"El Dorado Estate",1,49,2006,64,"2013-11-25 20:00:07",750ml,label_image_00000.jpg,89,"El Dorado Estate",NULL,NULL
9,"El Dorado Estate",1,49,2009,64,"2013-11-25 20:00:08",750ml,label_image_00000.jpg,89,"El Dorado Estate",NULL,NULL
10,"Vintage Dessert Wine Lodi",1,78,2002,64,"2013-11-25 20:00:09",375ml,label_image_00000.jpg,89,"Vintage Dessert Wine Lodi",NULL,NULL
11,"Petite Sirah Vintage Dessert wine",1,49,2002,64,"2013-11-25 20:00:10",375ml,label_image_00000.jpg,89,"Petite Sirah Vintage Dessert wine",NULL,NULL
12,"Petite Suite",1,49,2007,64,"2013-11-25 20:00:11",375ml,label_image_00000.jpg,89,"Petite Suite",NULL,NULL
13,"El Dorado Estate",1,49,2010,86,"2013-11-25 20:00:12",750ml,label_image_00000.jpg,89,"El Dorado Estate",NULL,NULL
